Title,Price,Page,Image
"MEGAWHEELS Electric Scooter Height Adjustabe Folding,Up to 5~7.5 Miles Long Range and 14.3 MPH Portable Folding Commuting Scooter for Boys and Girls with Double Braking System",Null,www.amazon.com/MEGAWHEELS-Electric-Scooter-Adjustabe-Scooter/dp/B09XV8GH5W/ref=sr_1_2?crid=1UDILHFFBU3HS&amp;keywords=electric+scooter&amp;qid=1690565405&amp;sprefix=s%2Caps%2C6431&amp;sr=8-2,https://m.media-amazon.com/images/I/51eCbRruHRL._AC_UL320_.jpg
"SR05 Electric Scooter for Kids Age of 6-12, Brushless Motor with Colorful Rainbow Lights",$189.00,www.amazon.com/VOLPAM-Electric-Scooter-Brushless-Colorful/dp/B0B9WDVBQ7/ref=sr_1_3?crid=1UDILHFFBU3HS&amp;keywords=electric+scooter&amp;qid=1690565405&amp;sprefix=s%2Caps%2C6431&amp;sr=8-3,https://m.media-amazon.com/images/I/61-F1NPD9-L._AC_UL320_.jpg
"Flare Electric Scooter | 8MPH, 3M Range, 6HR Charge, Speed-Battery Indicator, 6 Inch Front & 5.5 Inch Back Solid Tires, 132 LB Max Weight, Cert. & Tested - Safe for Kids",Null,www.amazon.com/Hover-1-Folding-Electric-Scooter-Lights/dp/B08H8TLSZG/ref=sr_1_4?crid=1UDILHFFBU3HS&amp;keywords=electric+scooter&amp;qid=1690565405&amp;sprefix=s%2Caps%2C6431&amp;sr=8-4,https://m.media-amazon.com/images/I/517kAytenNL._AC_UL320_.jpg
"Electric Scooter for Kids, [Great Gift to Kids Age 6-12] Mcbob Kids Electric Scooter Colorful Ambient Light, LED Display, 3 Speeds 5/8/10Mph for Kids/Teens (Age 6-12)",$199.99,www.amazon.com/Electric-Scooter-Colorful-Ambient-Display/dp/B0BZD5DLZW/ref=sr_1_5?crid=1UDILHFFBU3HS&amp;keywords=electric+scooter&amp;qid=1690565405&amp;sprefix=s%2Caps%2C6431&amp;sr=8-5,https://m.media-amazon.com/images/I/61ebJx8y0vL._AC_UL320_.jpg
"Xiaomi MI Electric Kick Scooter 4, 600W Motor, 18 Miles Long Range & 15.6mph, 10` Tubeless Tires, Dual Brakes, Commuting Electric Scooter for Adults & Teens",Null,www.amazon.com/Xiaomi-Electric-Scooter-Tubeless-Commuting/dp/B0BYTSWMQZ/ref=sr_1_6?crid=1UDILHFFBU3HS&amp;keywords=electric+scooter&amp;qid=1690565405&amp;sprefix=s%2Caps%2C6431&amp;sr=8-6,https://m.media-amazon.com/images/I/51PM+3QKUzL._AC_UL320_.jpg
"Scooters - Jupiter Kick Scooter - Collapsible Portable Kids Push Scooter - Lightweight Folding Design with High Visibility RGB Light Up LEDs on Stem, Wheels, and Deck",$29.99,www.amazon.com/Jetson-Scooters-Collapsible-Lightweight-Visibility/dp/B0765Q57Y3/ref=sr_1_7?crid=1UDILHFFBU3HS&amp;keywords=electric+scooter&amp;qid=1690565405&amp;sprefix=s%2Caps%2C6431&amp;sr=8-7,https://m.media-amazon.com/images/I/61DImZk6qnL._AC_UL320_.jpg
"Razor 13113614 E300 Electric Scooter",Null,www.amazon.com/Razor-Rechargeable-Electric-Motorized-Scooter/dp/B00MNKH8FK/ref=sr_1_8?crid=1UDILHFFBU3HS&amp;keywords=electric+scooter&amp;qid=1690565405&amp;sprefix=s%2Caps%2C6431&amp;sr=8-8,https://m.media-amazon.com/images/I/61NXUtY2uBL._AC_UL320_.jpg
"Jetson Knight Adult Electric Scooter, LCD Display, Removeable Rechargeable Battery, Thumb Throttle, Easy-Folding Mechanism, Up To 20 MPH, Range of up to 16 Miles, Ages 12+, Black, JKNGH1-BLK",Null,www.amazon.com/Jetson-Electric-Motion-Activated-Easy-Folding-Mechanism/dp/B091MR6DNC/ref=sr_1_9?crid=1UDILHFFBU3HS&amp;keywords=electric+scooter&amp;qid=1690565405&amp;sprefix=s%2Caps%2C6431&amp;sr=8-9,https://m.media-amazon.com/images/I/41woVY4AoKS._AC_UL320_.jpg
"PowerWing Caster Scooter",$54.72,www.amazon.com/Razor-PowerWing-DLX-Caster-Scooter/dp/B07QJT9K58/ref=sr_1_10?crid=1UDILHFFBU3HS&amp;keywords=electric+scooter&amp;qid=1690565405&amp;sprefix=s%2Caps%2C6431&amp;sr=8-10,https://m.media-amazon.com/images/I/61hfPA+OW2S._AC_UL320_.jpg
"SponsoredSponsored You’re seeing this ad based on the product’s relevance to your search query.Leave ad feedback  Swagtron K8 Titan Folding Commuter Kick Scooter for Adults & Teens, Height-Adjustable, ABEC-9 Wheel Bearings",$79.99,www.amazon.com/sspa/click?ie=UTF8&amp;spc=MToxNjEwNDk2Mzk4NjQzOTE6MTY5MDU2NTQwNTpzcF9tdGY6MjAwMTU3OTEwMDA0MTk4OjowOjo&amp;url=%2FSwagtron-K8-Commuter-Lightweight-Height-Adjustable%2Fdp%2FB07MDK6YXS%2Fref%3Dsr_1_11_sspa%3Fcrid%3D1UDILHFFBU3HS%26keywords%3Delectric%2Bscooter%26qid%3D1690565405%26sprefix%3Ds%252Caps%252C6431%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,https://m.media-amazon.com/images/I/61KcYBkcjdL._AC_UL320_.jpg
"SponsoredSponsored You’re seeing this ad based on the product’s relevance to your search query.Leave ad feedback  WhiteShark Mix Underwater Scooter Dual Motors, Action Camera Compatible, Water Sports Swimming Pool Scuba Diving for Kids/Adults",$319.99,www.amazon.com/sspa/click?ie=UTF8&amp;spc=MToxNjEwNDk2Mzk4NjQzOTE6MTY5MDU2NTQwNTpzcF9tdGY6MjAwMTcwOTQ0MDI1ODk4OjowOjo&amp;url=%2Fsublue-Whiteshark-Underwater-Smartphone-Snorkeling%2Fdp%2FB08NSZHMMR%2Fref%3Dsr_1_12_sspa%3Fcrid%3D1UDILHFFBU3HS%26keywords%3Delectric%2Bscooter%26qid%3D1690565405%26sprefix%3Ds%252Caps%252C6431%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,https://m.media-amazon.com/images/I/61BkS01fd7L._AC_UL320_.jpg
"SponsoredSponsored You’re seeing this ad based on the product’s relevance to your search query.Leave ad feedback  WINDEK SUBLUE WhiteShark Mix Underwater Scooter with Action Camera Mount Dual Motor 40M Waterproof for Water Sports Swimming Pool & Diving & Snorkeling & Sea Adventures",$469.99,www.amazon.com/sspa/click?ie=UTF8&amp;spc=MToxNjEwNDk2Mzk4NjQzOTE6MTY5MDU2NTQwNTpzcF9tdGY6MjAwMDI1NzI2Mzk4NDQxOjowOjo&amp;url=%2FWINDEK-WhiteShark-Underwater-Waterproof-Snorkeling%2Fdp%2FB07ZH6QJL8%2Fref%3Dsr_1_13_sspa%3Fcrid%3D1UDILHFFBU3HS%26keywords%3Delectric%2Bscooter%26qid%3D1690565405%26sprefix%3Ds%252Caps%252C6431%26sr%3D8-13-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,https://m.media-amazon.com/images/I/51GIifrOJUL._AC_UL320_.jpg
"SponsoredSponsored You’re seeing this ad based on the product’s relevance to your search query.Leave ad feedback  42V 2A Electric Scooter Charger for Gotrax Jetson, Power Charger Adapter Cable 1 Prong with 5.5mm tip Universal Compatible with 36V Li-ion Battery Bike Scooter Charger",$15.99,www.amazon.com/sspa/click?ie=UTF8&amp;spc=MToxNjEwNDk2Mzk4NjQzOTE6MTY5MDU2NTQwNTpzcF9tdGY6MzAwMDE4Mjg5MDQyNDAyOjowOjo&amp;url=%2FFalamiao-Electric-Scooter-Universal-Compatible%2Fdp%2FB0C7G4SYW9%2Fref%3Dsr_1_14_sspa%3Fcrid%3D1UDILHFFBU3HS%26keywords%3Delectric%2Bscooter%26qid%3D1690565405%26sprefix%3Ds%252Caps%252C6431%26sr%3D8-14-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,https://m.media-amazon.com/images/I/71VHqcRt+9L._AC_UL320_.jpg
"Foldable Kick Scooter - Stand Kick Scooter for Teens and Adults with Rubber Grip at Tip, Alloy Deck, Adjustable T-Bar Handlebar Height, Smooth Gliding Wheels, Easy Maneuvering",$67.99,www.amazon.com/Folding-Kick-Scooter-Adults-Kids/dp/B08T25Q5Y1/ref=sr_1_15?crid=1UDILHFFBU3HS&amp;keywords=electric+scooter&amp;qid=1690565405&amp;sprefix=s%2Caps%2C6431&amp;sr=8-15,https://m.media-amazon.com/images/I/71IRA84az4S._AC_UL320_.jpg
"Kick Scooter for Kids Ages 8-12, Folding Scooter for Teens/Adults with 4 Adjustment Levels, Big 8` Wheels Scooters with Anti-Shock Suspension and Carry Strap, Adult Scooter up to 220lbs",$59.99,www.amazon.com/Scooter-Adjustment-Scooters-Anti-Shock-Suspension/dp/B09L5SHW72/ref=sr_1_16?crid=1UDILHFFBU3HS&amp;keywords=electric+scooter&amp;qid=1690565405&amp;sprefix=s%2Caps%2C6431&amp;sr=8-16,https://m.media-amazon.com/images/I/61KuhGL9vkL._AC_UL320_.jpg
"YADEA Electric Scooter Adults KS5 Pro, Max Speeds 21.8 MPH, 37.2 Miles Long Range, 3 Adjustable Mode, Dual Shock Absorption; KS3 Lite, Max Speed 15.6 MPH, 12 Miles Range, Foldable Scooters for Commute",Null,www.amazon.com/YADEA-Electric-Scooter-Adults-Commuter/dp/B09R4L6XHF/ref=sr_1_17?crid=1UDILHFFBU3HS&amp;keywords=electric+scooter&amp;qid=1690565405&amp;sprefix=s%2Caps%2C6431&amp;sr=8-17,https://m.media-amazon.com/images/I/61Cgxiz2QjL._AC_UL320_.jpg
"MotoTec Lowboy 60v 20ah 2500w Lithium Scooter Black",Null,www.amazon.com/MotoTec-Lowboy-2500w-Lithium-Scooter/dp/B08D7MTLTM/ref=sr_1_18?crid=1UDILHFFBU3HS&amp;keywords=electric+scooter&amp;qid=1690565405&amp;sprefix=s%2Caps%2C6431&amp;sr=8-18,https://m.media-amazon.com/images/I/71vwvB3gKmL._AC_UL320_.jpg
"SponsoredSponsored You’re seeing this ad based on the product’s relevance to your search query.Leave ad feedback  HUDORA Scooter for Kids Ages 6-12 - Scooter for Kids 8 Years and Up, Scooters for Teens 12 Years and Up, Adult Scooter with Big Wheels, Lightweight Durable All-Aluminum Frame Scooter",$80.99,www.amazon.com/sspa/click?ie=UTF8&amp;spc=MToxNjEwNDk2Mzk4NjQzOTE6MTY5MDU2NTQwNTpzcF9tdGY6MzAwMDAxMzk1OTEzMjAyOjowOjo&amp;url=%2FHUDORA-Scooter-Kids-Ages-6-12%2Fdp%2FB000YD02MO%2Fref%3Dsr_1_19_sspa%3Fcrid%3D1UDILHFFBU3HS%26keywords%3Delectric%2Bscooter%26qid%3D1690565405%26sprefix%3Ds%252Caps%252C6431%26sr%3D8-19-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,https://m.media-amazon.com/images/I/61YmLYzaEyL._AC_UL320_.jpg
